 ,Area,Mean,Min,Max,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,443,5088.156,3382,6816,24.954,22.603,157.624,0.881,1.104,0.906,0.934
2,290,4619.883,3409,6133,21.744,16.981,2.222,0.891,1.281,0.781,0.932
3,361,4412.784,3383,5794,22.670,20.275,53.014,0.821,1.118,0.894,0.914
4,466,4382.142,3382,5724,25.961,22.855,13.799,0.876,1.136,0.880,0.937
5,306,4510.882,3386,5891,21.304,18.288,43.094,0.887,1.165,0.858,0.930
6,273,4430.194,3389,5749,20.041,17.344,113.315,0.904,1.156,0.865,0.925
7,296,4181.993,3382,5296,21.202,17.775,131.662,0.828,1.193,0.838,0.926
8,273,6064.286,3384,8467,20.146,17.254,51.069,0.894,1.168,0.856,0.933
9,330,4862.188,3392,6202,21.892,19.193,10.525,0.923,1.141,0.877,0.936
10,293,4494.939,3416,6183,19.927,18.721,51.005,0.856,1.064,0.939,0.933
11,343,4498.510,3391,5672,22.124,19.740,83.743,0.905,1.121,0.892,0.927
12,259,3839.039,3385,5058,18.283,18.037,167.928,0.626,1.014,0.987,0.803
13,292,4224.247,3394,5295,20.627,18.024,90.192,0.891,1.144,0.874,0.930
14,287,3942.700,3391,4661,19.495,18.744,6.954,0.629,1.040,0.961,0.879
15,349,4078.968,3382,5266,22.315,19.913,75.605,0.758,1.121,0.892,0.911
16,390,4105.772,3384,5346,23.699,20.953,105.489,0.771,1.131,0.884,0.899
17,340,4505.462,3397,5513,22.807,18.981,120.083,0.867,1.202,0.832,0.934
18,320,4582.556,3393,5983,20.503,19.872,91.514,0.874,1.032,0.969,0.922
19,343,4770.362,3392,6624,22.244,19.633,2.362,0.905,1.133,0.883,0.933
20,298,4334.510,3384,5393,23.533,16.123,50.085,0.808,1.460,0.685,0.918
21,363,4735.433,3382,6502,21.927,21.079,147.969,0.905,1.040,0.961,0.947
22,267,4146.569,3382,5097,20.328,16.723,55.475,0.782,1.216,0.823,0.907
23,376,4569.388,3396,5912,23.201,20.634,114.488,0.907,1.124,0.889,0.938
24,488,8317.219,3391,14583,26.690,23.280,18.430,0.897,1.146,0.872,0.947
25,355,4710.524,3386,6531,24.349,18.564,80.567,0.885,1.312,0.762,0.939
26,433,5075.048,3385,6989,26.723,20.630,97.513,0.879,1.295,0.772,0.941
27,303,4219.046,3385,5172,21.269,18.139,119.959,0.863,1.173,0.853,0.922
28,347,4283.268,3388,5170,22.265,19.843,1.750,0.900,1.122,0.891,0.930
29,352,4830.378,3382,6525,24.103,18.595,153.005,0.892,1.296,0.771,0.939
30,487,4937.337,3396,7033,26.490,23.408,172.064,0.921,1.132,0.884,0.946
31,295,4478.603,3389,5624,20.668,18.174,58.691,0.877,1.137,0.879,0.926
32,294,4273.680,3383,5229,20.512,18.249,75.355,0.913,1.124,0.890,0.935
33,333,4341.670,3385,5602,21.489,19.731,60.415,0.858,1.089,0.918,0.925
34,259,4782.023,3383,7241,19.301,17.086,78.263,0.950,1.130,0.885,0.954
35,278,6641.496,3470,10128,20.569,17.208,140.135,0.896,1.195,0.837,0.922
36,308,4159.500,3391,5360,21.603,18.153,33.573,0.827,1.190,0.840,0.924
37,347,4123.006,3382,5144,22.587,19.560,70.323,0.722,1.155,0.866,0.904
38,356,5069.699,3384,6915,22.100,20.510,2.173,0.902,1.077,0.928,0.937
39,351,4171.923,3392,5436,22.606,19.769,52.327,0.764,1.144,0.874,0.898
40,341,4059.217,3383,5007,22.695,19.131,133.587,0.858,1.186,0.843,0.925
41,221,3910.905,3385,4976,16.964,16.587,79.358,0.620,1.023,0.978,0.820
42,299,4218.722,3383,5222,21.535,17.678,30.416,0.873,1.218,0.821,0.921
43,461,4930.902,3407,6473,26.015,22.563,132.000,0.917,1.153,0.867,0.947
44,494,5063.721,3390,7505,31.537,19.944,88.410,0.777,1.581,0.632,0.897
45,354,4534.545,3383,5780,22.513,20.021,21.351,0.891,1.124,0.889,0.939
46,291,4941.086,3384,6651,22.099,16.766,149.366,0.850,1.318,0.759,0.921
47,356,4549.101,3387,5908,23.482,19.303,27.286,0.896,1.217,0.822,0.933
48,409,4004.787,3386,4944,24.388,21.353,61.410,0.636,1.142,0.876,0.892
49,296,5991.956,3388,8402,20.299,18.567,12.691,0.910,1.093,0.915,0.932
50,275,3825.185,3382,4580,19.911,17.585,175.799,0.728,1.132,0.883,0.874
51,354,4400.220,3383,5908,23.999,18.781,141.741,0.775,1.278,0.783,0.912
52,375,4650.827,3410,6224,24.012,19.884,23.371,0.864,1.208,0.828,0.928
53,356,5204.289,3409,7204,23.732,19.100,71.743,0.887,1.243,0.805,0.934
54,421,5620.444,3390,7321,27.097,19.782,34.523,0.900,1.370,0.730,0.944
55,399,4334.145,3383,5553,24.889,20.411,131.439,0.761,1.219,0.820,0.902
56,454,5155.857,3390,6662,25.502,22.667,138.933,0.933,1.125,0.889,0.959
57,335,5944.448,3420,8046,21.220,20.101,41.951,0.915,1.056,0.947,0.932
